"BBRefName","BBRefLink","BBRefID","BBRefBirthDate"
"Alaa Abdelnaby","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/abdelal01.html","abdelal01",1968-06-24
"Mahmoud Abdul-Rauf","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/abdulma02.html","abdulma02",1969-03-09
"Tariq Abdul-Wahad","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/abdulta01.html","abdulta01",1974-11-03
"Shareef Abdur-Rahim","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/abdursh01.html","abdursh01",1976-12-11
"Álex Abrines","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/abrinal01.html","abrinal01",1993-08-01
"Precious Achiuwa","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/achiupr01.html","achiupr01",1999-09-19
"Alex Acker","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/ackeral01.html","ackeral01",1983-01-21
"Mark Acres","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/acresma01.html","acresma01",1962-11-15
"Quincy Acy","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/acyqu01.html","acyqu01",1990-10-06
"Hassan Adams","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/adamsha01.html","adamsha01",1984-06-20
"Jaylen Adams","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/adamsja01.html","adamsja01",1996-05-04
"Jordan Adams","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/adamsjo01.html","adamsjo01",1994-07-08
"Michael Adams","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/adamsmi01.html","adamsmi01",1963-01-19
"Steven Adams","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/adamsst01.html","adamsst01",1993-07-20
"Rafael Addison","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/addisra01.html","addisra01",1964-07-22
"Bam Adebayo","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/adebaba01.html","adebaba01",1997-07-18
"Deng Adel","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/adelde01.html","adelde01",1997-02-01
"Jeff Adrien","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/adrieje01.html","adrieje01",1986-02-10
"Arron Afflalo","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/afflaar01.html","afflaar01",1985-10-15
"Maurice Ager","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/agerma01.html","agerma01",1984-02-09
"Mark Aguirre","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/aguirma01.html","aguirma01",1959-12-10
"Blake Ahearn","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/ahearbl01.html","ahearbl01",1984-05-27
"Danny Ainge","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/aingeda01.html","aingeda01",1959-03-17
"Alexis Ajinça","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/ajincal01.html","ajincal01",1988-05-06
"Josh Akognon","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/akognjo01.html","akognjo01",1986-02-10
"DeVaughn Akoon-Purcell","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/akoonde01.html","akoonde01",1993-06-05
