"draft_year","pick","player","player_id","draft_age","draft_age2","pick_group","year_group","draft_team","make_nba","nba_seasons","poss","min","war","war_reg","war_playoffs"
"1990",1,"Derrick Coleman","colemde01",23.041095890411,23,"1","90's","NJN","Yes",15,53909,27360,40.407184845,35.902189503,4.504995342
"1990",2,"Gary Payton","paytoga01",21.9506849315068,21,"2-5","90's","SEA","Yes",17,102011,52598,175.766276357,159.72960502,16.036671353
"1990",3,"Mahmoud Abdul-Rauf","abdulma02",21.3232876712329,21,"2-5","90's","DEN","Yes",9,32581,16043,12.365890786,12.235914708,0.129976079
"1990",4,"Dennis Scott","scottde01",21.8301369863014,21,"2-5","90's","ORL","Yes",10,38076,19430,31.195199809,28.948926262,2.246273547
"1990",5,"Kendall Gill","gillke01",22.1123287671233,22,"2-5","90's","CHA","Yes",15,60030,30277,47.581451643,46.209227673,1.372223971
"1990",6,"Felton Spencer","spencfe01",22.4712328767123,22,"6-10","90's","MIN","Yes",12,25358,13070,-2.361528692,-2.530702895,0.169174203
"1990",7,"Lionel Simmons","simmoli01",21.6383561643836,21,"6-10","90's","SAC","Yes",7,27695,13549,14.157857229,13.779541825,0.378315404
"1990",8,"Bo Kimble","kimblbo01",24.241095890411,23,"6-10","90's","LAC","Yes",3,2797,1341,-1.580998347,-1.528922869,-0.052075478
"1990",9,"Willie Burton","burtowi01",22.1095890410959,22,"6-10","90's","MIA","Yes",8,13403,6677,0.980725992,1.047114198,-0.066388206
"1990",10,"Rumeal Robinson","robinru01",23.6438356164384,23,"6-10","90's","ATL","Yes",6,12765,6314,2.802383746,2.826899104,-0.024515358
"1990",11,"Tyrone Hill","hillty01",22.2958904109589,22,"11-18","90's","GOS","Yes",14,46642,24261,23.196404459,23.262954682,-0.066550225
"1990",12,"Alec Kessler","kesslal01",23.4767123287671,23,"11-18","90's","MIA","Yes",4,6078,2949,-4.514873894,-4.439395621,-0.075478273
"1990",13,"Loy Vaught","vaughlo01",22.3534246575342,22,"11-18","90's","LAC","Yes",11,34432,17200,13.49018587,12.861688403,0.628497467
"1990",14,"Travis Mays","maystr01",22.0438356164384,22,"11-18","90's","SAC","Yes",3,6004,2984,0.158737919,0.221966931,-0.063229013
"1990",15,"Dave Jamerson","jamerda01",22.8958904109589,22,"11-18","90's","HOU","Yes",3,1245,615,-0.242362595,-0.353344619,0.110982025
"1990",16,"Terry Mills","millste01",22.5397260273973,22,"11-18","90's","DEN","Yes",11,32858,16831,15.441480231,14.752443808,0.689036423
"1990",17,"Jerrod Mustaf","mustaje01",20.6849315068493,20,"11-18","90's","NYK","Yes",4,3963,1934,-1.95189891,-2.076425595,0.124526685
"1990",18,"Duane Causwell","causwdu01",22.0958904109589,22,"11-18","90's","SAC","Yes",11,19031,9464,1.986556042,2.036868776,-0.050312734
"1990",19,"Dee Brown","brownde01",21.5972602739726,21,"19-30","90's","BOS","Yes",12,35107,17625,35.850790858,34.233229118,1.61756174
"1990",20,"Gerald Glass","glassge01",22.6465753424658,22,"19-30","90's","MIN","Yes",4,6632,3347,0.832355949,0.832355949,0
"1990",21,"Jayson Williams","willija01",22.3671232876712,22,"19-30","90's","PHL","Yes",9,19323,9948,8.999949888,8.843891814,0.156058074
