"year","pk","tm","player","college","yrs","g","mp","pts","trb","ast","fg_percent","x3p_percent","ft_percent","mp_2","pts_2","trb_2","ast_2","ws","ws_48","bpm","vorp"
"2020",14,"BOS","Aaron Nesmith","Vanderbilt",2,47,680,218,129,24,0.429,0.36,0.786,14.5,4.6,2.7,0.5,1,0.07,-3.2,-0.2
"2020",17,"MIN","Aleksej Pokusevski","",2,46,1105,367,215,100,0.339,0.278,0.705,24,8,4.7,2.2,-2,-0.087,-5.9,-1.1
"2020",1,"MIN","Anthony Edwards","Georgia",2,73,2345,1421,342,214,0.418,0.333,0.775,32.1,19.5,4.7,2.9,1,0.02,-2.6,-0.3
"2020",54,"IND","Cassius Stanley","Duke",1,24,93,36,20,1,0.302,0.231,0.778,3.9,1.5,0.8,0,-0.1,-0.05,-11.2,-0.2
"2020",53,"OKC","Cassius Winston","Michigan State",1,22,98,41,9,12,0.424,0.471,0.833,4.5,1.9,0.4,0.5,0.1,0.066,-3,0
"2020",46,"POR","CJ Elleby","Washington State",1,30,192,68,32,10,0.379,0.206,0.733,6.4,2.3,1.1,0.3,0.1,0.032,-5.6,-0.2
"2020",15,"ORL","Cole Anthony","UNC",2,48,1303,615,226,196,0.394,0.33,0.83,27.1,12.8,4.7,4.1,-0.2,-0.006,-3.3,-0.4
"2020",33,"MIN","Daniel Oturu","Minnesota",1,30,161,54,48,10,0.423,0.2,0.75,5.4,1.8,1.6,0.3,0.3,0.081,-5.6,-0.1
"2020",9,"WAS","Deni Avdija","",2,55,1278,350,269,64,0.422,0.32,0.638,23.2,6.4,4.9,1.2,1.4,0.052,-3.9,-0.6
"2020",30,"BOS","Desmond Bane","TCU",2,69,1549,647,213,121,0.47,0.43,0.83,22.4,9.4,3.1,1.8,3,0.094,-1,0.4
"2020",11,"SAS","Devin Vassell","Florida State",2,63,1081,360,176,61,0.416,0.357,0.843,17.2,5.7,2.8,1,1.8,0.078,-1.9,0.1
"2020",39,"NOP","Elijah Hughes","Syracuse",2,19,67,33,9,6,0.333,0.348,0.833,3.5,1.7,0.5,0.3,0,0.015,-3.7,0
"2020",56,"CHO","Grant Riller","College of Charleston",1,7,27,18,1,3,0.667,0.5,NA,3.9,2.6,0.1,0.4,0.1,0.177,5.4,0.1
"2020",25,"OKC","Immanuel Quickley","Kentucky",2,65,1251,733,137,128,0.394,0.386,0.891,19.2,11.3,2.1,2,3.2,0.122,0.6,0.8
"2020",5,"CLE","Isaac Okoro","Auburn",2,68,2194,654,209,129,0.422,0.288,0.73,32.3,9.6,3.1,1.9,0.9,0.02,-5,-1.6
"2020",49,"PHI","Isaiah Joe","Arkansas",2,42,396,153,36,20,0.353,0.361,0.75,9.4,3.6,0.9,0.5,0.5,0.061,-3.5,-0.1
"2020",16,"POR","Isaiah Stewart","Washington",2,69,1481,549,461,59,0.555,0.328,0.696,21.5,8,6.7,0.9,4.1,0.132,-1.2,0.3
"2020",28,"LAL","Jaden McDaniels","Washington",2,64,1537,431,236,72,0.449,0.362,0.6,24,6.7,3.7,1.1,1.5,0.047,-3.8,-0.7
"2020",43,"SAC","Jahmi'us Ramsey","Texas Tech",1,13,94,40,10,6,0.395,0.263,1,7.2,3.1,0.8,0.5,0,0.012,-4.7,-0.1
"2020",59,"TOR","Jalen Harris","Nevada",1,13,172,96,18,17,0.5,0.472,0.778,13.2,7.4,1.4,1.3,0.3,0.079,0.6,0.1
"2020",10,"PHO","Jalen Smith","Maryland",1,27,156,53,37,4,0.44,0.235,0.714,5.8,2,1.4,0.1,0.1,0.022,-6.2,-0.2
"2020",2,"GSW","James Wiseman","Memphis",1,39,836,448,226,26,0.519,0.316,0.628,21.4,11.5,5.8,0.7,0.7,0.042,-5.4,-0.7
"2020",55,"BRK","Jay Scrubb","John A. Logan College",1,4,84,35,14,1,0.389,0.222,1,21,8.8,3.5,0.3,-0.1,-0.072,-10.9,-0.2
"2020",45,"MIL","Jordan Nwora","Louisville",2,32,327,197,71,10,0.444,0.446,0.733,10.2,6.2,2.2,0.3,0.3,0.051,-2.6,0
"2020",18,"DAL","Josh Green","Arizona",2,40,449,103,78,28,0.453,0.16,0.565,11.2,2.6,2,0.7,0.5,0.05,-3.7,-0.2
"2020",51,"GSW","Justinian Jessup","Boise State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020",52,"SAC","Kenyon Martin Jr.","",2,46,1077,426,244,49,0.512,0.365,0.709,23.4,9.3,5.3,1.1,2.3,0.101,-1.8,0
"2020",7,"DET","Killian Hayes","",2,27,690,176,74,140,0.343,0.278,0.824,25.6,6.5,2.7,5.2,-1.3,-0.087,-7.3,-0.9
"2020",13,"NOP","Kira Lewis Jr.","Alabama",2,55,921,348,75,129,0.385,0.336,0.843,16.7,6.3,1.4,2.3,0.9,0.045,-3.8,-0.4
"2020",3,"CHO","LaMelo Ball","",2,52,1498,834,311,320,0.437,0.367,0.76,28.8,16,6,6.2,3,0.097,1.9,1.4
"2020",23,"NYK","Leandro Bolmaro","",1,1,5,2,0,0,0,NA,1,5,2,0,0,0,-0.135,NA,NA
"2020",29,"TOR","Malachi Flynn","San Diego State",1,47,928,353,116,137,0.374,0.321,0.804,19.7,7.5,2.5,2.9,0.8,0.041,-2.8,-0.2
"2020",44,"CHI","Marko Simonovic","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020",42,"NOP","Nick Richards","Kentucky",1,18,63,15,11,2,0.444,0,0.636,3.5,0.8,0.6,0.1,0,0.026,-8.7,-0.1
"2020",48,"GSW","Nico Mannion","Arizona",1,30,364,123,46,70,0.342,0.367,0.821,12.1,4.1,1.5,2.3,0.2,0.029,-4.1,-0.2
"2020",8,"NYK","Obi Toppin","Dayton",2,63,711,267,143,29,0.505,0.295,0.724,11.3,4.2,2.3,0.5,1.6,0.111,-1,0.2
"2020",6,"ATL","Onyeka Okongwu","USC",1,50,601,228,163,18,0.644,0,0.632,12,4.6,3.3,0.4,1.9,0.155,-1.3,0.1
"2020",4,"CHI","Patrick Williams","Florida State",2,72,2011,661,328,99,0.484,0.391,0.732,27.9,9.2,4.6,1.4,2.6,0.061,-2.7,-0.3
"2020",58,"PHI","Paul Reed","DePaul",2,27,180,90,61,13,0.531,0,0.5,6.7,3.3,2.3,0.5,0.6,0.157,-0.9,0
"2020",26,"BOS","Payton Pritchard","Oregon",2,67,1279,510,163,122,0.437,0.408,0.889,19.1,7.6,2.4,1.8,2.5,0.094,-1.1,0.3
"2020",20,"MIA","Precious Achiuwa","Memphis",2,62,756,310,215,31,0.538,0,0.5,12.2,5,3.5,0.5,1.3,0.084,-4.5,-0.5
"2020",24,"MIL","R.J. Hampton","",2,52,914,360,186,90,0.43,0.315,0.667,17.6,6.9,3.6,1.7,0.3,0.016,-3.8,-0.4
"2020",57,"LAC","Reggie Perry","Mississippi State",1,26,211,78,73,14,0.41,0.19,0.769,8.1,3,2.8,0.5,0.2,0.04,-6.7,-0.2
"2020",40,"MEM","Robert Woodard","Mississippi State",1,13,45,20,16,2,0.4,0.167,0.375,3.5,1.5,1.2,0.2,0,-0.011,-5.4,0
"2020",NA,"","Round 2","Round 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020",38,"UTA","Saben Lee","Vanderbilt",1,48,781,267,97,174,0.471,0.348,0.685,16.3,5.6,2,3.6,1.5,0.091,-1.9,0
"2020",19,"BRK","Saddiq Bey","Villanova",2,71,1942,870,327,99,0.404,0.377,0.839,27.4,12.3,4.6,1.4,3.3,0.082,-0.8,0.6
"2020",60,"NOP","Sam Merrill","Utah State University",1,30,233,89,30,21,0.444,0.447,1,7.8,3,1,0.7,0.5,0.102,-1.4,0
"2020",50,"ATL","Skylar Mays","LSU",2,34,273,127,36,30,0.455,0.366,0.88,8,3.7,1.1,0.9,0.8,0.143,1.8,0.3
"2020",34,"PHI","Théo Maledon","",2,66,1799,662,213,230,0.366,0.332,0.752,27.3,10,3.2,3.5,-0.8,-0.023,-5.2,-1.4
"2020",41,"SAS","Tre Jones","Duke",2,38,277,98,21,40,0.481,0.6,0.895,7.3,2.6,0.6,1.1,0.4,0.07,-3.4,-0.1
"2020",36,"PHI","Tyler Bey","Colorado",1,18,71,18,19,3,0.318,0.25,0.6,3.9,1,1.1,0.2,0,-0.033,-9.6,-0.1
"2020",31,"DAL","Tyrell Terry","Stanford",1,11,56,11,6,6,0.313,0,0.333,5.1,1,0.5,0.5,-0.1,-0.049,-5.5,-0.1
"2020",12,"SAC","Tyrese Haliburton","Iowa State",2,59,1775,755,175,313,0.47,0.407,0.857,30.1,12.8,3,5.3,3.4,0.093,1.1,1.4
"2020",21,"PHI","Tyrese Maxey","Kentucky",2,62,969,508,111,125,0.465,0.311,0.875,15.6,8.2,1.8,2,2.1,0.106,-1.9,0
"2020",27,"UTA","Udoka Azubuike","Kansas",1,15,57,16,13,0,0.444,NA,0.8,3.8,1.1,0.9,0,0.1,0.119,-4.9,0
"2020",32,"CHO","Vernon Carey Jr.","Duke",1,19,115,46,27,2,0.5,0.143,0.818,6.1,2.4,1.4,0.1,0.2,0.066,-6.2,-0.1
"2020",37,"WAS","Vit Krejci","",1,1,3,0,1,0,NA,NA,NA,3,0,1,0,0,0.035,NA,NA
"2020",35,"SAC","Xavier Tillman Sr.","Michigan State",1,59,1085,390,256,75,0.559,0.338,0.642,18.4,6.6,4.3,1.3,2.9,0.127,-0.4,0.4
"2020",47,"BOS","Yam Madar","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020",22,"DEN","Zeke Nnaji","Arizona",1,42,397,136,65,10,0.481,0.407,0.8,9.5,3.2,1.5,0.2,0.9,0.104,-2.1,0
"2019",42,"PHI","Admiral Schofield","Tennessee",1,33,368,99,47,15,0.38,0.311,0.667,11.2,3,1.4,0.5,0.1,0.017,-5.5,-0.3
"2019",39,"NOP","Alen Smailagić","",2,29,223,87,43,17,0.463,0.304,0.72,7.7,3,1.5,0.6,0.3,0.056,-3.4,-0.1
"2019",44,"MIA","Bol Bol","Oregon",2,39,247,109,43,13,0.453,0.394,0.72,6.3,2.8,1.1,0.3,0.1,0.02,-3.8,-0.1
"2019",21,"OKC","Brandon Clarke","Gonzaga",3,118,2727,1316,676,177,0.568,0.305,0.724,23.1,11.2,5.7,1.5,9.2,0.162,2.1,2.8
"2019",34,"PHI","Bruno Fernando","Maryland",2,89,939,291,276,59,0.498,0.128,0.603,10.6,3.3,3.1,0.7,0.7,0.037,-4.8,-0.7
"2019",10,"ATL","Cam Reddish","Duke",3,85,2322,922,323,123,0.38,0.313,0.81,27.3,10.8,3.8,1.4,0.1,0.002,-4,-1.2
"2019",11,"MIN","Cameron Johnson","UNC",3,118,2716,1088,388,156,0.427,0.369,0.828,23,9.2,3.3,1.3,5.3,0.093,-0.2,1.2
"2019",33,"PHI","Carsen Edwards","Purdue",2,68,627,244,73,38,0.372,0.302,0.75,9.2,3.6,1.1,0.6,0.4,0.03,-4.7,-0.4
"2019",16,"ORL","Chuma Okeke","Auburn",1,45,1133,349,181,101,0.417,0.348,0.75,25.2,7.8,4,2.2,1.3,0.056,-1.4,0.2
"2019",7,"CHI","Coby White","UNC",2,134,3830,1900,514,503,0.406,0.357,0.849,28.6,14.2,3.8,3.8,3.3,0.041,-2.7,-0.7
"2019",36,"CHO","Cody Martin","Nevada",3,101,1776,455,325,181,0.44,0.25,0.627,17.6,4.5,3.2,1.8,2.2,0.059,-2.2,-0.1
"2019",38,"CHI","Daniel Gafford","Arkansas",3,98,1422,608,342,50,0.693,NA,0.62,14.5,6.2,3.5,0.5,5.5,0.185,0.8,1
"2019",23,"UTA","Darius Bazley","",3,117,2874,1111,649,142,0.395,0.306,0.702,24.6,9.5,5.5,1.2,0.1,0.001,-3.3,-0.9
"2019",5,"CLE","Darius Garland","Vanderbilt",3,114,3646,1682,241,570,0.427,0.372,0.858,32,14.8,2.1,5,-0.1,-0.002,-3.6,-1.5
"2019",4,"LAL","De'Andre Hunter","Virginia",3,87,2725,1133,399,157,0.43,0.348,0.799,31.3,13,4.6,1.8,1.9,0.034,-3.3,-0.9
"2019",37,"DAL","Deividas Sirvydis","",1,20,133,41,29,5,0.35,0.357,0.5,6.7,2.1,1.5,0.3,0,-0.01,-5.6,-0.1
"2019",59,"TOR","Dewan Hernandez","Miami (FL)",1,6,28,14,14,3,0.357,0.5,0.6,4.7,2.3,2.3,0.5,0,0.043,-9.6,-0.1
