"year","pick","player","age","yos","tm"
"2020",1,"Anthony Edwards",19,1,"MIN"
"2020",2,"James Wiseman",19,1,"GOS"
"2020",3,"LaMelo Ball",19,1,"CHA"
"2020",4,"Patrick Williams",19,1,"CHI"
"2020",5,"Isaac Okoro",19,1,"CLE"
"2020",6,"Onyeka Okongwu",19,1,"ATL"
"2020",7,"Killian Hayes",19,1,"DET"
"2020",8,"Obi Toppin",22,1,"NYK"
"2020",9,"Deni Avdija",19,1,"WAS"
"2020",10,"Jalen Smith",20,1,"PHX"
"2020",11,"Devin Vassell",20,1,"SAN"
"2020",12,"Tyrese Haliburton",20,1,"SAC"
"2020",13,"Kira Lewis, Jr.",19,1,"NOP"
"2020",14,"Aaron Nesmith",21,1,"BOS"
"2020",15,"Cole Anthony",20,1,"ORL"
"2020",16,"Isaiah Stewart II",19,1,"DET"
"2020",17,"Aleksej Pokusevski",18,1,"OKC"
"2020",18,"Josh Green",20,1,"DAL"
"2020",19,"Saddiq Bey",21,1,"DET"
"2020",20,"Precious Achiuwa",21,1,"MIA"
"2020",21,"Tyrese Maxey",20,1,"PHL"
"2020",22,"Zeke Nnaji",19,1,"DEN"
"2020",23,"Leandro Bolmaro",20,0,"MIN"
"2020",24,"R.J. Hampton",19,1,"DEN"
"2020",25,"Immanuel Quickley",21,1,"NYK"
"2020",26,"Payton Pritchard",22,1,"BOS"
"2020",27,"Udoka Azubuike",21,1,"UTH"
"2020",28,"Jaden McDaniels",20,1,"MIN"
"2020",29,"Malachi Flynn",22,1,"TOR"
"2020",30,"Desmond Bane",22,1,"MEM"
"2020",31,"Tyrell Terry",20,1,"DAL"
"2020",32,"Vernon Carey, Jr.",19,1,"CHA"
"2020",33,"Daniel Oturu",21,1,"LAC"
"2020",34,"Theo Maledon",19,1,"OKC"
"2020",35,"Xavier Tillman, Sr.",21,1,"MEM"
"2020",36,"Tyler Bey",22,1,"DAL"
"2020",37,"Vit Krejci",20,0,"OKC"
"2020",38,"Saben Lee",21,1,"DET"
"2020",39,"Elijah Hughes",22,1,"UTH"
"2020",40,"Robert Woodard II",21,1,"SAC"
"2020",41,"Tre Jones",20,1,"SAN"
"2020",42,"Nick Richards",22,1,"CHA"
"2020",43,"Jahmi'us Ramsey",19,1,"SAC"
"2020",44,"Marko Simonovic",21,0,"CHI"
"2020",45,"Jordan Nwora",22,1,"MIL"
"2020",46,"C.J. Elleby",20,1,"POR"
"2020",47,"Yam Madar",19,0,"BOS"
"2020",48,"Nico Mannion",19,1,"GOS"
"2020",49,"Isaiah Joe",21,1,"PHL"
"2020",50,"Skylar Mays",23,1,"ATL"
"2020",51,"Justinian Jessup",22,0,"GOS"
"2020",52,"K.J. Martin",19,1,"HOU"
"2020",53,"Cassius Winston",22,1,"WAS"
"2020",54,"Cassius Stanley",21,1,"IND"
"2020",55,"Jayden Scrubb",20,1,"LAC"
"2020",56,"Grant Riller",23,1,"CHA"
"2020",57,"Reggie Perry",20,1,"BRK"
"2020",58,"Paul Reed, Jr.",21,1,"PHL"
"2020",59,"Jalen Harris",22,1,"TOR"
"2020",60,"Sam Merrill",24,1,"MIL"
"2019",1,"Zion Williamson",18,2,"NOP"
"2019",2,"Ja Morant",19,2,"MEM"
"2019",3,"R.J. Barrett",19,2,"NYK"
"2019",4,"De'Andre Hunter",21,2,"ATL"
"2019",5,"Darius Garland",19,2,"CLE"
"2019",6,"Jarrett Culver",20,2,"MIN"
"2019",7,"Coby White",19,2,"CHI"
"2019",8,"Jaxson Hayes",19,2,"NOP"
"2019",9,"Rui Hachimura",21,2,"WAS"
"2019",10,"Cam Reddish",19,2,"ATL"
"2019",11,"Cameron Johnson",23,2,"PHX"
"2019",12,"P.J. Washington",20,2,"CHA"
"2019",13,"Tyler Herro",19,2,"MIA"
"2019",14,"Romeo Langford",19,2,"BOS"
"2019",15,"Sekou Doumbouya",18,2,"DET"
"2019",16,"Chuma Okeke",20,1,"ORL"
"2019",17,"Nickeil Alexander-Walker",20,2,"NOP"
"2019",18,"Goga Bitadze",19,2,"IND"
"2019",19,"Luka Samanic",19,2,"SAN"
"2019",20,"Matisse Thybulle",22,2,"PHL"
"2019",21,"Brandon Clarke",22,2,"MEM"
"2019",22,"Grant Williams",20,2,"BOS"
"2019",23,"Darius Bazley",19,2,"OKC"
"2019",24,"Ty Jerome",21,2,"PHX"
"2019",25,"Nassir Little",19,2,"POR"
"2019",26,"Dylan Windler",22,2,"CLE"
"2019",27,"Mfiondu Kabengele",21,2,"LAC"
"2019",28,"Jordan Poole",20,2,"GOS"
"2019",29,"Keldon Johnson",19,2,"SAN"
"2019",30,"Kevin Porter, Jr.",19,2,"CLE"
"2019",31,"Nicolas Claxton",20,2,"BRK"
"2019",32,"KZ Okpala",20,2,"MIA"
"2019",33,"Carsen Edwards",21,2,"BOS"
"2019",34,"Bruno Fernando",20,2,"ATL"
"2019",35,"Didi Louzada",19,1,"NOP"
"2019",36,"Cody Martin",23,2,"CHA"
"2019",37,"Deividas Sirvydis",19,1,"DET"
"2019",38,"Daniel Gafford",20,2,"CHI"
"2019",39,"Alen Smailagic",18,2,"GOS"
"2019",40,"Justin James",22,2,"SAC"
"2019",41,"Eric Paschall",22,2,"GOS"
"2019",42,"Admiral Schofield",22,1,"WAS"
"2019",43,"Jaylen Nowell",19,2,"MIN"
"2019",44,"Bol Bol",19,2,"DEN"
"2019",45,"Isaiah Roby",21,2,"DAL"
